,AMERICAN EXPRESS CO,BANK OF NEW YORK MELLON CORP,CHICAGO BRIDGE & IRON CO N V,COCA COLA CO,CONOCOPHILLIPS,COSTCO WHSL CORP NEW,DAVITA HEALTHCARE PARTNERS I,DEERE & CO,DIRECTV,DISH NETWORK CORP,GENERAL ELECTRIC CO,GENERAL MTRS CO,GLAXOSMITHKLINE PLC,INTERNATIONAL BUSINESS MACHS,JOHNSON & JOHNSON,KRAFT FOODS GROUP INC,LEE ENTERPRISES INC,LIBERTY MEDIA CORP DELAWARE,M & T BK CORP,MASTERCARD INC,MEDIA GEN INC,MONDELEZ INTL INC,MOODYS CORP,NATIONAL OILWELL VARCO INC,PHILLIPS 66,PRECISION CASTPARTS CORP,PROCTER & GAMBLE CO,SANOFI,STARZ,SUNCOR ENERGY INC NEW,TORCHMARK CORP,U S G CORP,UNITED PARCEL SERVICE INC,US BANCORP DEL,VERISIGN INC,VERISK ANALYTICS INC,VIACOM INC NEW,VISA INC,WABCO HLDGS INC,WAL MART STORES INC,WASHINGTON POST CO,WELLS FARGO & CO NEW,EXXON MOBIL CORP,GOLDMAN SACHS GROUP INC,GRAHAM HLDGS CO,LIBERTY GLOBAL PLC,VERIZON COMMUNICATIONS INC,CHARTER COMMUNICATIONS INC D,NOW INC,EXPRESS SCRIPTS HLDG CO,MEDIA GEN INC NEW,RESTAURANT BRANDS INTL INC,TWENTY FIRST CENTY FOX INC,AXALTA COATING SYS LTD,AT&T INC,KRAFT HEINZ CO,KINDER MORGAN INC DEL,APPLE INC,CHARTER COMMUNICATIONS INC N,AMERICAN AIRLS GROUP INC,DELTA AIR LINES INC DEL,MOSANTO CO NEW,SIRIUS XM HLDGS INC,SOUTHWEST AIRLS CO,UNITED CONTL HLDGS INC,STORE CAP CORP,SYNCHRONY FINL,BANK AMER CORP,TEVA PHARMACEUTICAL INDS LTD,LIBERTY LATIN AMERICA LTD,JPMORGAN CHASE & CO,ORACLE CORP,PNC FINL SVCS GROUP INC,TRAVELERS COMPANIES INC,RED HAT INC,STONECO LTD,AMAZON COM INC,GLOBE LIFE INC,OCCIDENTAL PETE CORP,RH,BIOGEN INC,KROGER CO,SPDR S&P 500 ETF TR,VANGUARD INDEX FDS
2014-QTR3.tsv,11334417,691264,569798.0,16044001,1459497.0,479140,1808848,323275.0,2297655.0,23272.0,13657.0,1332400,73757.0,13018792.0,28085,10764.0,181.0,712688,601444,232673,51248.0,16490,1518508,611832.0,1600226.0,446898.0,4064539,209321.0,124254.0,524021.0,275921.0,393514.0,5137,2829725,486679,93337.0,517518.0,284260,304461.0,3668426.0,835840.0,19113442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-QTR4.tsv,13755639,861370,794050.0,16524000,782799.0,515757,2310552,363381.0,2521705.0,0.0,296712.0,1634800,0.0,12777641.0,29959,10387.0,308.0,775347,626576,338361,105005.0,20403,1935837,706226.0,2095153.0,532496.0,4297885,209472.0,132804.0,455650.0,331029.0,990184.0,6242,3204565,655280,102749.0,664412.0,346370,380770.0,3893875.0,0.0,21040998,4162320.0,2239065.0,1146062.0,262397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-QTR1.tsv,13649511,869997,832348.0,15464001,779475.0,483950,2590216,361272.0,2637614.0,0.0,274059.0,1032600,0.0,13157670.0,32131,10809.0,397.0,692869,652842,302535,85351.0,19970,1956807,691486.0,750664.0,499792.0,4255122,204199.0,61963.0,454480.0,333359.0,1141607.0,5784,3429944,629974,93744.0,646535.0,335761,430297.0,4436946.0,0.0,23052408,4017544.0,2069676.0,1215915.0,604729.0,524352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-QTR2.tsv,14383308,923989,729816.0,16944000,116184.0,499030,2720762,360277.0,1995014.0,0.0,278186.0,1196451,0.0,12720437.0,34221,11550.0,395.0,546720,667642,297554,95387.0,21739,2162553,601342.0,522457.0,473659.0,4149008,207676.0,0.0,701619.0,346998.0,1175131.0,6098,3469692,633798,93837.0,659772.0,379225,435433.0,4413910.0,0.0,24359359,4140932.0,2115024.0,77251.0,747149.0,733996.0,365701.0,66104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-QTR3.tsv,13272002,905413,619059.0,17064001,36117.0,543057,2751611,0.0,2595600.0,0.0,271200.0,1277600,0.0,13378840.0,34866,10866.0,300.0,564640,663552,348562,60912.0,19805,2331294,485698.0,504317.0,493237.0,4420893,220410.0,0.0,667970.0,332745.0,1072166.0,5838,3350353,715733,95197.0,593069.0,457954,370742.0,4617663.0,0.0,24039574,3868243.0,2318769.0,75259.0,743795.0,749897.0,749296.0,55515.0,31747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-QTR4.tsv,14105859,893050,449233.0,16887999,0.0,614254,2920956,1512562.0,2718346.0,0.0,267496.0,1431311,0.0,12349358.0,34205,12072.0,327.0,421320,676093,465243,0.0,20996,2363611,344582.0,470897.0,687396.0,4808922,178147.0,0.0,710420.0,344181.0,1091666.0,6603,3600249,740145,100138.0,649723.0,657936,427117.0,5185887.0,0.0,25406775,0.0,2448370.0,92914.0,897966.0,701743.0,1032751.0,46972.0,0.0,77731.0,329428.0,182324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-QTR1.tsv,11843828,832180,527137.0,16220000,0.0,656483,3134610,1517922.0,2668181.0,0.0,262628.0,1537501,0.0,12770201.0,32906,16784.0,282.0,459800,683519,451799,0.0,20860,2560723,98925.0,589457.0,882166.0,4325865,193107.0,0.0,653863.0,348947.0,1041354.0,5758,3658385,869605,111629.0,564505.0,646588,474709.0,4966691.0,0.0,25583903,0.0,2374349.0,112914.0,898296.0,729495.0,1154631.0,39506.0,0.0,76616.0,324112.0,210759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-QTR2.tsv,11783184,867957,466719.0,15692001,0.0,585264,3064805,1679944.0,2909288.0,0.0,281257.0,1366530,0.0,12942062.0,31879,16404.0,296.0,431360,672379,488878,0.0,23779,2663349,0.0,0.0,839612.0,4130531,193458.0,0.0,615191.0,369915.0,1083866.0,5756,3691742,801434,113755.0,365004.0,663788,467315.0,4283129.0,0.0,26449243,0.0,2637337.0,115649.0,931211.0,699193.0,1458139.0,36348.0,0.0,76756.0,322425.0,202693.0,661600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-QTR3.tsv,11238901,787393,78653.0,16047999,0.0,626474,2789448,1261857.0,0.0,0.0,266966.0,1501000,0.0,11747419.0,30535,0.0,185.0,808827,656340,471306,0.0,24201,2422572,0.0,4724655.0,964963.0,3797934,185412.0,0.0,801600.0,358350.0,1038234.0,5862,3488441,916222,115553.0,0.0,688600,373110.0,3643055.0,0.0,24149513,0.0,1904326.0,62071.0,844819.0,652691.0,1808020.0,27018.0,0.0,48564.0,303101.0,241522.0,587875.0,1932670.0,22983305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-QTR1.tsv,10544524,829026,0.0,17184000,0.0,699838,2688406,1745375.0,0.0,0.0,329739.0,1700501,0.0,11151823.0,33600,0.0,149.0,892059,652195,509169,0.0,25918,2475366,0.0,5029632.0,974626.0,4192298,166586.0,0.0,774000.0,363180.0,947359.0,5716,3629646,1134370,120197.0,0.0,766594,340650.0,3444158.0,0.0,26076724,0.0,1975234.0,52171.0,868103.0,693343.0,1882561.0,28880.0,0.0,56062.0,315252.0,243133.0,621585.0,1602719.0,23693189.0,395880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
