,AMERICAN EXPRESS CO,BANK OF NEW YORK MELLON CORP,CHICAGO BRIDGE & IRON CO N V,COCA COLA CO,CONOCOPHILLIPS,COSTCO WHSL CORP NEW,DAVITA HEALTHCARE PARTNERS I,DEERE & CO,DIRECTV,DISH NETWORK CORP,GENERAL ELECTRIC CO,GENERAL MTRS CO,GLAXOSMITHKLINE PLC,INTERNATIONAL BUSINESS MACHS,JOHNSON & JOHNSON,KRAFT FOODS GROUP INC,LEE ENTERPRISES INC,LIBERTY MEDIA CORP DELAWARE,M & T BK CORP,MASTERCARD INC,MEDIA GEN INC,MONDELEZ INTL INC,MOODYS CORP,NATIONAL OILWELL VARCO INC,PHILLIPS 66,PRECISION CASTPARTS CORP,PROCTER & GAMBLE CO,SANOFI,STARZ,SUNCOR ENERGY INC NEW,TORCHMARK CORP,U S G CORP,UNITED PARCEL SERVICE INC,US BANCORP DEL,VERISIGN INC,VERISK ANALYTICS INC,VIACOM INC NEW,VISA INC,WABCO HLDGS INC,WAL MART STORES INC,WASHINGTON POST CO,WELLS FARGO & CO NEW,EXXON MOBIL CORP,GOLDMAN SACHS GROUP INC,GRAHAM HLDGS CO,LIBERTY GLOBAL PLC,VERIZON COMMUNICATIONS INC,CHARTER COMMUNICATIONS INC D,NOW INC,EXPRESS SCRIPTS HLDG CO,MEDIA GEN INC NEW,RESTAURANT BRANDS INTL INC,TWENTY FIRST CENTY FOX INC,AXALTA COATING SYS LTD,AT&T INC,KRAFT HEINZ CO,KINDER MORGAN INC DEL,APPLE INC,CHARTER COMMUNICATIONS INC N,AMERICAN AIRLS GROUP INC,DELTA AIR LINES INC DEL,MOSANTO CO NEW,SIRIUS XM HLDGS INC,SOUTHWEST AIRLS CO,UNITED CONTL HLDGS INC,STORE CAP CORP,SYNCHRONY FINL,BANK AMER CORP,TEVA PHARMACEUTICAL INDS LTD,LIBERTY LATIN AMERICA LTD,JPMORGAN CHASE & CO,ORACLE CORP,PNC FINL SVCS GROUP INC,TRAVELERS COMPANIES INC,RED HAT INC,STONECO LTD,AMAZON COM INC,GLOBE LIFE INC,OCCIDENTAL PETE CORP,RH,BIOGEN INC,KROGER CO,SPDR S&P 500 ETF TR,VANGUARD INDEX FDS
2014-QTR3.tsv,151610700,24644029,9550755.0,400000000,24123911.0,4333363,14973906,3978767.0,37275400.0,547312.0,588900.0,40000000,1476021.0,68121984.0,327100,192666.0,88863.0,5622340,5382040,405000,4646220.0,578000,24922178,8880000.0,27163918.0,1977336.0,52793078,4063675.0,5622340.0,17769457.0,4235818.0,17072192.0,59400,78277301,10897420,1563434.0,7607200.0,1555459,4076325.0,49247235.0,1727765.0,463131623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-QTR4.tsv,151610700,24652836,9550755.0,400000000,11079958.0,4333363,36461294,3978767.0,36514700.0,0.0,10585502.0,40000000,0.0,68121984.0,327100,192666.0,88863.0,5300000,5382040,405000,4646220.0,578000,24669778,8880000.0,27163918.0,1977336.0,52793078,3905875.0,4541881.0,13000000.0,4235818.0,34890174.0,59400,79320901,10961520,1563434.0,7607200.0,1555459,4076325.0,49483733.0,0.0,463458123,41129643.0,12631531.0,1727765.0,2948285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-QTR1.tsv,151610700,24652836,9550755.0,400000000,11079958.0,4333363,37621152,3978767.0,34514700.0,0.0,10585502.0,30000000,0.0,68355084.0,327100,192666.0,88863.0,5300000,5382040,4050000,4646220.0,578000,24669778,8880000.0,9741303.0,1977336.0,52793078,3905875.0,1919541.0,13000000.0,4235818.0,34890174.0,59400,80026697,11685654,1563434.0,7607200.0,1555459,4076325.0,58052412.0,0.0,463458123,41129643.0,12631531.0,1727765.0,14693936.0,11022743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-QTR2.tsv,151610700,24652836,10701110.0,400000000,1355228.0,4333363,37621152,3978767.0,23467995.0,0.0,10585502.0,32960056,0.0,70173978.0,327100,192666.0,88863.0,4000000,5382040,4050000,4646220.0,578000,24669778,7302278.0,6495800.0,1876622.0,52793078,3905875.0,0.0,16458330.0,4235818.0,39002016.0,59400,80094497,12985000,1563434.0,7607200.0,1799749,4076325.0,58797259.0,0.0,463458123,41129643.0,12631531.0,107575.0,17213514.0,15000928.0,2309013.0,1825569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-QTR3.tsv,151610700,23377603,10701110.0,400000000,471994.0,4333363,37621152,0.0,30000000.0,0.0,10585502.0,40000000,0.0,70478012.0,327100,192666.0,88863.0,12000000,5382040,4715400,4646220.0,578000,24669778,6382360.0,6202400.0,2082222.0,52793078,3905875.0,0.0,18477730.0,6353727.0,39002016.0,59400,80094497,12985000,1563434.0,7708200.0,2146290,4076325.0,60385293.0,0.0,463458123,41129643.0,12631531.0,107575.0,17747975.0,15000928.0,4950096.0,1825569.0,449489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-QTR4.tsv,151610700,22012603,10701110.0,400000000,0.0,4333363,38565570,17096886.0,31353468.0,0.0,10585502.0,41000000,0.0,76971817.0,327100,192666.0,88863.0,12000000,5382040,5399756,0.0,578000,24669778,5258385.0,6567600.0,2853688.0,52793078,3905875.0,0.0,22354294.0,6353727.0,39002016.0,59400,80094497,12985000,1563434.0,8634190.0,2509290,4076325.0,60385293.0,0.0,463458123,0.0,12631531.0,107575.0,18163292.0,15000928.0,6198237.0,1825569.0,0.0,4646220.0,8438225.0,4747397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-QTR1.tsv,151610700,20680420,10701110.0,400000000,0.0,4333363,38565570,17310090.0,31353468.0,0.0,10585502.0,41000000,0.0,79565115.0,327100,192666.0,88863.0,12000000,5382040,5229756,0.0,578000,24669778,1978895.0,7499450.0,4200792.0,52793078,3905875.0,0.0,22354294.0,6353727.0,39002016.0,59400,83773390,12985000,1563434.0,8265079.0,9885160,3863195.0,60385293.0,0.0,470292359,0.0,12631531.0,107575.0,17689761.0,15000928.0,5979136.0,1825569.0,0.0,4646220.0,8438225.0,6228097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-QTR2.tsv,151610700,20680420,9326921.0,400000000,0.0,4333363,38565570,17310090.0,31353468.0,0.0,10585502.0,41000000,0.0,79565115.0,327100,192666.0,88863.0,12000000,5382040,5229756,0.0,578000,24669778,0.0,0.0,4200792.0,52793078,3905875.0,0.0,22354294.0,6353727.0,39002016.0,59400,85063167,12985000,1563434.0,5646721.0,9885160,3777195.0,60385293.0,0.0,470292359,0.0,12631531.0,107575.0,17689761.0,15000928.0,8514678.0,1825569.0,0.0,4646220.0,8438225.0,6228097.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-QTR3.tsv,151610700,20112212,1983190.0,400000000,0.0,4333363,38565570,17052110.0,0.0,0.0,10585502.0,50000000,0.0,81033450.0,327100,0.0,88863.0,23186257,5382040,5229756,0.0,578000,24669778,0.0,61486926.0,4200792.0,52793078,3905875.0,0.0,30000000.0,6353727.0,39002016.0,59400,85063167,12985000,1563434.0,0.0,9885160,3559189.0,56185293.0,0.0,470292359,0.0,10959519.0,107575.0,20188740.0,15000928.0,10281603.0,1825569.0,0.0,3471309.0,8438225.0,8951869.0,23199474.0,59320756.0,325634818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-QTR1.tsv,151610700,20112212,0.0,400000000,0.0,4333363,38565570,22884150.0,0.0,0.0,10585502.0,50000000,0.0,81033450.0,327100,0.0,88863.0,23186257,5382040,5229756,0.0,578000,24669778,0.0,61486926.0,4200792.0,52793078,3905875.0,0.0,30000000.0,6353727.0,39002016.0,59400,85063167,12985000,1563434.0,0.0,9885160,3331215.0,56185293.0,0.0,479704270,0.0,10959519.0,107575.0,20775751.0,15000928.0,10281603.0,1825569.0,0.0,3471309.0,8438225.0,8951869.0,23324000.0,46577138.0,325634818.0,26533525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
